id_pedido,id_cliente,produto,quantidade,preco_unitario,valor_total,data_pedido,status
551782b4-8298-460e-932c-15106e58d23a,da1d4a44-737f-4134-98ad-b52af365255d,Fone Bluetooth,2,1632.78,3265.56,2026-08-18,Processando
e5247c65-a3b0-4fa9-aa40-3d7647180347,b8d8214e-d073-43d4-953d-17b56ca82bca,Fone Bluetooth,1,1456.21,1456.21,2025-11-02,Processando
eafdea34-d4e2-4833-ade7-fb0b15601dc5,2cf584a0-7281-4aa3-bd9c-2303f9292b30,Smartphone,3,3140.14,9420.42,2025-12-18,Processando
1467617a-c352-484b-86af-db8d395c8171,304c18ee-3cd2-4918-9e40-31b9a57f598b,Mouse Gamer,5,1094.97,5474.85,2026-06-06,Entregue
cf6fd885-fcd1-4d2d-9063-e460a273d58b,54425a35-63d4-463f-b2e5-aac78eda5e66,Monitor 4K,1,1819.67,1819.67,2026-04-30,Aguardando Pagamento
acc8eca0-421b-43e4-8405-61fc67879ce7,94c40f2c-c689-47e9-9985-3c79e71c8737,Notebook,5,143.93,719.65,2026-08-14,Aguardando Pagamento
4ba60edd-2106-4c97-97b3-d25394fb661c,7e4b11fe-c2ba-4c76-88ad-58e96f334ad1,Notebook,5,160.04,800.2,2026-01-05,Cancelado
c684dba8-891d-4cef-8d52-29485e7f7db9,c680b4a0-4f24-4f8f-86c0-99f3c346a1ed,Teclado Mecânico,5,3050.93,15254.65,2026-02-06,Aguardando Pagamento
eee41deb-ef4a-4951-b00f-6674ea83dadb,b2d70105-58be-492d-835f-f2ee7ddbda15,Mouse Gamer,5,2759.95,13799.75,2025-08-30,Cancelado
55379edf-6b6b-424c-889d-e51c9c159d81,488bbd15-1986-4012-8626-98846519659b,Smartphone,2,1490.28,2980.56,2025-12-27,Entregue
18f51f6c-0830-4304-bcc3-c60e623beb14,c5038e05-9f6a-437b-aff9-eea24c6555c9,Fone Bluetooth,5,1299.2,6496.0,2026-07-20,Entregue
0763064b-8c0d-4e22-83ad-6fc5fd587495,b3a45cc1-1931-4d84-80ec-f2b004c14b42,Mouse Gamer,3,1384.6,4153.8,2026-07-08,Cancelado
b6ef2d7a-527b-40ff-8bbe-4962bbc60516,f8ab8f2a-6bfd-4fd7-ae2b-9f61dd563fde,Mouse Gamer,1,3236.97,3236.97,2026-06-15,Aguardando Pagamento
46205a92-18ed-4331-a9a8-50180c50a3ec,7c412280-db6f-4bf4-b685-04dc366e8d34,Teclado Mecânico,1,2891.44,2891.44,2026-07-19,Entregue
780fece9-0fce-426b-a750-a1bb053ca245,d55698cc-bd50-45e8-aafb-f7426afa57eb,Fone Bluetooth,1,3431.5,3431.5,2025-09-28,Entregue
0cf5ff29-dad6-43da-8ce6-96d697b13229,bd75ddbb-0843-498e-9c44-272e3fd158b9,Notebook,3,2211.97,6635.91,2026-07-31,Entregue
a544c8f1-fe60-48fa-a39e-8988864ac321,1d12c164-ffd5-425b-b4d5-a19fcf1ee81c,Notebook,3,1168.54,3505.62,2025-10-15,Aguardando Pagamento
6004cbc1-aa26-44c0-90b0-b6045a798aec,a0958198-388a-4f32-9cb3-e0785ab3117b,Teclado Mecânico,3,1123.36,3370.08,2025-09-16,Cancelado
f6540811-4bb2-4689-ab80-ed9d06e98458,0841c9ec-db76-496d-b42d-92aa646a027c,Smartphone,4,1116.68,4466.72,2026-04-24,Aguardando Pagamento
c8d84709-1a23-4d32-84d9-2b25f6919d46,22434e70-ef3b-476a-b64f-f49e4e75f01c,Notebook,5,1450.52,7252.6,2026-04-14,Processando
6df639e9-d5c2-4a52-bfbf-425b3de2d97e,ce4b99a1-0e3e-443c-95eb-1861f63299d8,Teclado Mecânico,1,294.75,294.75,2025-09-21,Cancelado
116cd70b-1892-49fa-a259-8b80bf77ed1c,5618f07c-7c8a-4d3f-a89c-2458021acd8b,Notebook,5,1619.3,8096.5,2026-06-29,Entregue
f5962504-0886-4f01-94a7-cb618ea59cd9,59e75495-61a7-48bf-a4f5-f28dc2d280d6,Teclado Mecânico,5,2071.14,10355.7,2026-07-29,Entregue
c94b7d0b-1781-4023-8490-08eb65dad9d9,84c59846-6b78-4ed2-94ce-5adb53e17cf3,Monitor 4K,3,2766.37,8299.11,2026-01-15,Cancelado
a3354d33-dff7-4bd8-909d-fc06a57f28f2,16e4a7f5-137b-4748-8fa2-2a264c7d35d3,Fone Bluetooth,4,1645.45,6581.8,2026-04-25,Cancelado
56a83f1a-b550-4347-b44a-d45d8fe0f341,2d17842d-5e47-48bd-bc1d-c71e88d7842a,Smartphone,4,3477.2,13908.8,2026-01-24,Aguardando Pagamento
